name, hole_vs, fig_es, fig_vs, eps, max_score
20.json, 5, 7, 6, 4757, 5130
36.json, 23, 5, 5, 15010, 6583
41.json, 5, 20, 12, 151751, 7644
16.json, 5, 5, 5, 8897, 4381
57.json, 18, 18, 12, 23327, 9340
6.json, 13, 48, 39, 150000, 11986
7.json, 8, 114, 58, 200000, 13106
56.json, 19, 15, 11, 18542, 9030
17.json, 5, 6, 5, 11966, 4644
40.json, 19, 9, 6, 13279, 7418
37.json, 16, 9, 6, 16994, 7170
21.json, 4, 10, 7, 47549, 5545
47.json, 10, 15, 11, 41323, 8104
10.json, 9, 82, 58, 200000, 12801
51.json, 10, 21, 13, 38462, 8830
26.json, 6, 11, 7, 15671, 6267
30.json, 18, 6, 5, 1249, 6492
31.json, 20, 7, 5, 13457, 6867
27.json, 21, 4, 4, 2500, 5808
1.json, 9, 30, 20, 150000, 9814
50.json, 18, 12, 9, 17065, 8340
11.json, 3, 3, 3, 0, 2170
46.json, 7, 21, 12, 137031, 8200
2.json, 20, 48, 39, 250000, 12608
28.json, 24, 4, 4, 1250, 6000
53.json, 7, 26, 16, 26846, 8923
12.json, 3, 4, 4, 0, 3000
45.json, 26, 7, 6, 32891, 7508
32.json, 20, 5, 5, 9381, 6381
24.json, 5, 8, 7, 8828, 5545
49.json, 8, 21, 13, 164384, 8508
48.json, 21, 11, 8, 18565, 8267
25.json, 6, 9, 7, 16310, 5978
33.json, 20, 7, 5, 15533, 6867
44.json, 26, 7, 6, 41631, 7508
13.json, 4, 4, 4, 2494, 3416
52.json, 9, 21, 14, 40173, 8785
29.json, 26, 4, 4, 2500, 6116
3.json, 26, 38, 36, 180000, 12534
34.json, 7, 12, 9, 20152, 6978
8.json, 10, 21, 13, 200000, 8830
22.json, 6, 8, 6, 30202, 5585
59.json, 8, 25, 18, 39400, 9229
18.json, 5, 6, 5, 6731, 4644
38.json, 5, 15, 11, 57852, 7104
4.json, 11, 50, 43, 200000, 11945
55.json, 5, 30, 20, 40000, 8966
14.json, 9, 3, 3, 0, 3755
43.json, 5, 21, 13, 40000, 7830
42.json, 16, 10, 7, 50378, 7545
15.json, 4, 6, 5, 1250, 4322
54.json, 11, 21, 13, 42736, 8968
5.json, 14, 60, 45, 200000, 12622
39.json, 8, 12, 9, 20037, 7170
19.json, 14, 3, 3, 0, 4393
58.json, 18, 15, 12, 29340, 9077
23.json, 6, 7, 6, 8317, 5393
9.json, 16, 128, 96, 375000, 15000
35.json, 7, 11, 9, 24912, 6852
